Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;1;2;11.8;7;11.35;1.97;9;2.8;1.15;0;75
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;1;3;9.89;8;10.49;1.41;6;2.32;1.8;0;71
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;2;1;9.54;6;11.66;1.91;9;3.34;1.03;0;68
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;2;2;11.12;8;10.73;1.59;7;2.26;1.29;0;73
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;2;3;11.54;7;11.39;1.92;6;2.85;1.23;0;66
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;3;1;12.44;7;12.04;2.07;11;2.54;1.01;0;73
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;3;2;13.14;7;10.92;2.19;10;2.79;1;0;73
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;1;3;3;14.14;9;10.2;1.77;5;2.42;1.91;0;77
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;1;1;13.12;8;9.11;1.87;8;2.08;1.48;0;73
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;1;2;11.27;7;8.99;1.88;5;2.47;1.54;0;62
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;1;3;13.46;8;8.31;1.92;6;1.68;1.34;0;73
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;2;1;10.99;9;8.61;1.38;7;2.3;1.34;0;60
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;2;2;12.91;8;9.9;1.84;8;2.23;1.07;0;78
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;2;3;10.88;7;8.97;1.81;5;1.72;1.15;0;57
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;3;1;14.53;9;9.26;1.82;7;1.86;1.11;0;84
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;3;2;12.82;9;8.91;1.6;8;2.21;1.12;0;80
Ob17;Ob;B113;Africa;Wild;Cali-Colombia;2;3;3;9.94;8;9.65;1.42;8;2.12;2.21;0;81
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;1;1;8.87;4;9.45;2.96;3;3.04;1.33;0;30
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;1;2;3.9;3;10.8;1.95;2;2.97;1.74;0;22
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;1;3;5.66;3;7.1;2.83;0;0;0;0;15
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;2;1;8.86;4;8.32;2.96;2;2.82;1.37;0;24
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;2;2;7.75;3;9.49;3.88;3;3.2;1.59;0;23
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;2;3;4.46;2;10.01;4.46;2;4.15;2.3;0;12
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;3;1;7.96;4;10.9;2.65;3;2.99;1.97;0;35
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;3;2;7.01;3;10.32;3.51;3;3.41;1.63;0;24
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;1;3;3;8.15;4;9.99;2.72;3;3.23;1.33;0;32
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;1;1;8.5;4;7.48;2.83;1;1.86;1.43;0;25
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;1;2;6.58;3;9.68;3.29;3;2.99;1.81;0;22
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;1;3;8.49;4;7.4;2.83;2;2.07;1.52;0;26
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;2;1;7.07;4;7.08;2.35;3;1.86;1.31;0;25
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;2;2;8.27;4;6;2.76;1;1.27;0.98;0;18
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;2;3;6.11;3;6.35;3.06;0;0;0;0;16
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;3;1;7.12;3;8.23;3.57;3;2.38;1.46;0;23
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;3;2;2.83;2;8.09;2.83;2;2.69;1.92;0;13
Ob18;Ob;B120;Africa;Wild;Cali-Colombia;2;3;3;7.8;4;7.97;2.6;3;2.13;1.25;0;26
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;1;1;7.77;4;12.06;2.59;6;3.17;1.87;0;40
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;1;2;2.84;2;9.9;2.84;3;4.62;0.15;0;22
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;1;3;6.74;5;6.69;1.69;1;2.62;1.51;0;23
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;2;1;4.69;4;9.53;1.56;2;2;2.16;0;27
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;2;2;8.25;4;10.21;2.75;5;3.34;1.41;0;37
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;2;3;7.54;4;9.73;2.52;2;3.02;1.22;0;28
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;3;1;7.76;4;8.13;2.58;3;2.33;1.26;0;27
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;3;2;4.65;3;9.83;2.33;4;4.86;0.63;0;30
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;1;3;3;7.05;4;7.5;2.35;4;2.17;1.18;0;27
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;1;1;4.08;4;8.07;1.36;5;1.92;1.15;0;37
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;1;2;5.84;4;6.29;1.94;3;1.15;0.78;0;28
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;1;3;6.31;5;7.59;1.58;5;1.95;1.05;0;36
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;2;1;4.1;4;5.62;1.37;3;1.61;0.8;0;27
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;2;2;5.19;4;6.71;1.73;3;1.85;1.15;0;31
Ob19;Ob;B198;Africa;Wild;Cali-Colombia;2;2;3;5.53;5;4.23;1.38;0;0;0;0;24
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;1;1;10.11;5;10.29;2.53;8;2.43;1.07;0;53
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;1;2;7.64;4;10.94;2.55;6;2.76;1.03;0;38
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;1;3;3.58;3;11.34;1.79;5;2.47;1.14;0;31
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;2;1;4.17;3;11.4;2.08;5;3.57;1.05;0;36
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;2;2;6.72;4;8.78;2.24;4;2.13;1.15;0;33
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;2;3;6.93;4;8.67;2.31;5;2.03;0.97;0;37
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;3;1;6.16;4;12.84;2.05;8;3.01;1.17;0;50
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;3;2;6.64;4;11.53;2.21;7;2.59;1;0;44
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;1;3;3;7.65;4;11.43;2.55;6;2.81;1.6;0;42
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;1;1;9.19;5;8.24;2.3;5;1.52;1.01;0;41
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;1;2;5.85;4;9.4;1.95;5;1.94;1.09;0;37
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;1;3;5.09;4;9.4;1.7;6;2.3;0.89;0;43
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;2;1;6.87;4;8.6;2.29;4;1.98;1.19;0;35
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;2;2;7.16;3;10.16;3.58;5;2.42;1.03;0;30
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;2;3;5.59;3;10.13;2.79;4;2.44;1.26;0;33
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;3;1;8.58;5;9.21;2.14;7;2.18;0.92;0;53
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;3;2;7.93;4;9.16;2.64;4;2.47;0.88;0;39
Ob20;Ob;B206;Africa;Wild;Cali-Colombia;2;3;3;9.22;5;8.24;2.31;3;1.78;1.25;0;42
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;1;1;15.56;13;11.43;1.3;36;2.44;0.28;0;212
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;1;2;15.54;11;11.83;1.56;24;2.58;0.35;0;165
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;1;3;16.43;14;11.49;1.26;33;2.32;0.44;0;212
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;2;1;14.55;14;11.12;1.12;36;2.22;0.38;0;220
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;2;2;14.66;13;12.7;1.22;40;2.19;0.35;0;239
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;1;2;3;13.56;12;12.66;1.23;35;2.51;0.3;0;217
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;2;1;1;14.69;11;13.97;1.47;41;2.87;0.15;0;240
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;2;1;2;14.06;12;12.81;1.28;40;2.85;0.27;0;239
Og01;Og;AC104589-1R;Africa;Cultivated;Cali-Colombia;2;1;3;15.93;15;13.13;1.14;49;2.33;0.27;0;252
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;1;1;14.28;14;9.93;1.1;24;2.16;0.39;0;168
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;1;2;10.2;11;12.26;1.02;40;2.27;0.33;0;219
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;1;3;12.25;15;10.46;0.88;33;1.94;0.54;0;208
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;2;1;12.86;14;10.89;0.99;39;1.92;0.38;0;209
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;2;2;11.32;12;12.7;1.03;45;2.13;0.35;0;221
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;2;3;11.71;11;10.77;1.17;29;2.46;0.28;0;160
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;3;1;14.34;13;11.36;1.2;36;2.19;0.45;0;207
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;3;2;11.31;12;12.82;1.03;39;2.45;0.41;0;220
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;1;3;3;11.4;13;11.7;0.95;40;2.36;0.42;0;224
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;1;1;12.61;15;11.36;0.9;46;2.22;0.35;0;213
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;1;2;13.54;11;12.57;1.35;31;2.53;0.45;0;186
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;1;3;13.68;14;12.21;1.05;36;2.19;0.62;0;209
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;2;1;12.33;13;12.01;1.03;37;2.33;0.51;0;209
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;2;2;9.5;12;11.52;0.86;32;2.2;0.4;0;192
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;2;3;12.18;13;12.43;1.02;47;2.07;0.37;0;235
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;3;1;14.23;12;10.98;1.29;27;2.21;0.45;0;160
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;3;2;13.31;11;11.86;1.33;34;2.29;0.48;0;182
Og02;Og;CG14;Africa;Cultivated;Cali-Colombia;2;3;3;13.26;12;11.19;1.21;24;2.27;0.65;0;162
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;1;1;10.49;16;7.58;0.7;18;1.67;0.53;0;142
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;1;2;9.93;11;8.09;0.99;16;1.72;0.53;0;118
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;1;3;8.35;10;6.57;0.93;9;1.93;0.8;0;83
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;2;1;7.34;12;7.66;0.67;21;1.69;0.36;0;128
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;2;2;8.88;13;7.57;0.74;17;1.72;0.58;0;130
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;2;3;6.87;9;8.65;0.86;18;1.93;0.37;0;113
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;3;1;8.28;10;7.48;0.92;14;1.65;0.32;0;97
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;3;2;10.17;12;7.39;0.92;12;1.4;0.61;0;113
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;1;3;3;9.15;13;6.82;0.76;15;1.12;0.51;0;121
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;2;1;1;9.4;10;8.27;1.05;17;1.98;0.23;0;127
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;2;1;2;6.76;11;7.79;0.68;16;1.75;0.58;0;129
Og03;Og;MG12;Africa;Cultivated;Cali-Colombia;2;1;3;8.88;10;8.7;0.99;20;1.86;0.42;0;130
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;1;1;9.56;13;7.74;0.8;16;1.66;0.54;0;129
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;1;2;12.06;13;7.65;1;16;1.79;0.35;0;142
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;1;3;10.17;11;8.32;1.02;20;1.81;0.42;0;125
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;2;1;10.27;12;7.44;0.93;13;1.47;0.7;0;106
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;2;2;9.34;11;8.22;0.94;16;1.57;0.27;0;107
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;2;3;9.6;10;8.64;1.07;20;2.5;0.33;0;102
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;3;1;9.71;13;7.69;0.81;23;1.7;0.36;0;150
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;3;2;8.09;12;8.18;0.74;25;1.59;0.25;0;142
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;1;3;3;9.51;10;7.05;1.06;14;1.71;0.46;0;103
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;1;1;9.53;15;6.7;0.68;23;1.34;0.44;0;138
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;1;2;9.12;12;8.84;0.83;27;2.06;0.3;0;173
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;1;3;10.44;12;7.77;0.95;13;1.46;0.25;0;120
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;2;1;10.41;12;8.26;0.95;10;2;0.64;0;134
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;2;2;9.04;12;9.12;0.82;27;1.63;0.27;0;153
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;2;3;8.82;12;9.02;0.8;22;1.69;0.45;0;145
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;3;1;8.94;12;8.95;0.81;29;1.54;0.26;0;162
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;3;2;7.95;11;8.81;0.79;26;1.82;0.26;0;158
Og04;Og;Tog5681;Africa;Cultivated;Cali-Colombia;2;3;3;9.96;13;8.25;0.83;24;1.78;0.3;0;161
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;1;1;1;11.17;11;10.96;1.12;25;2.06;0.55;0;171
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;1;1;2;11.6;11;10.56;1.16;23;2.12;0.46;0;160
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;1;1;3;10.67;10;9.91;1.18;14;2.64;0.7;0;127
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;1;1;13.01;8;10.82;1.86;15;2.05;0.79;0;93
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;1;2;10.9;7;12.37;1.82;20;2.33;0.41;0;116
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;1;3;11.41;9;13.72;1.42;30;2.18;0.34;0;160
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;2;1;11.47;9;10.34;1.43;25;1.77;0.41;0;125
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;2;2;11.18;10;10.14;1.24;28;1.63;0.41;0;162
Og05;Og;Tog7020;Africa;Cultivated;Cali-Colombia;2;2;3;11.62;9;9.99;1.45;17;1.96;0.82;0;104
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;1;1;12.35;11;10.56;1.23;25;2.23;0.41;0;162
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;1;2;12.6;9;10.25;1.58;12;2.7;0.45;0;108
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;1;3;12.47;13;10.37;1.04;25;2.21;0.44;0;181
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;2;1;15.63;14;9.46;1.2;23;2.04;0.5;0;162
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;2;2;14.67;13;10.31;1.22;25;1.92;0.3;0;182
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;2;3;16.22;13;10.35;1.35;22;2;0.41;0;167
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;3;1;16.31;15;11.24;1.17;36;2.1;0.3;0;227
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;3;2;17.01;13;11.91;1.42;33;2.25;0.23;0;212
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;1;3;3;16.89;13;10.98;1.41;27;2.28;0.28;0;189
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;1;1;16.32;13;11.24;1.36;29;2.15;0.37;0;182
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;1;2;16.65;19;9.5;0.92;33;1.9;0.29;0;225
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;1;3;15.88;13;11.03;1.32;25;2.28;0.3;0;179
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;2;1;15.3;14;10.24;1.18;22;2.37;0.55;0;182
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;2;2;13.77;11;10.8;1.38;23;2.2;0.18;0;150
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;2;3;14.1;10;10.47;1.57;16;2.31;0.2;0;120
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;3;1;10.75;12;10.44;0.98;21;2.23;0.38;0;159
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;3;2;13.18;12;10.43;1.2;27;2.2;0.39;0;165
Og06;Og;G22-2R;Africa;Cultivated;Cali-Colombia;2;3;3;14.2;11;10.36;1.42;21;2.47;0.38;0;147
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;1;1;12.35;12;7.58;1.12;17;2.49;0.66;0;122
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;1;2;11.08;9;11.27;1.38;21;2.4;0.28;0;129
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;2;1;9.37;11;10.56;0.94;32;2.22;0.22;0;172
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;2;2;9.85;8;9.66;1.41;18;1.83;0.47;0;102
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;2;3;9.54;8;10.74;1.36;24;2;0.22;0;123
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;3;1;9.13;9;11.62;1.14;26;2.34;0.25;0;152
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;3;2;10.6;9;11.3;1.32;24;2.61;0.26;0;138
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;1;3;3;9.6;12;9.65;0.87;18;2.29;0.42;0;139
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;1;1;10.74;9;11.24;1.34;30;1.41;0.37;0;127
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;1;2;11.94;11;10.08;1.2;15;2.05;0.56;0;122
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;1;3;10.62;9;10.42;1.33;20;2.65;0.34;0;130
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;2;1;12.14;11;9.8;1.21;20;2.4;0.36;0;130
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;2;2;13.29;11;10.59;1.33;23;2.2;0.25;0;149
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;2;3;13.17;10;9.73;1.46;20;2.62;0.25;0;130
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;3;1;11.65;12;9.81;1.06;22;1.5;0.45;0;139
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;3;2;10.78;11;11.7;1.08;29;2.31;0.25;0;138
Og07;Og;Tog5307;Africa;Cultivated;Cali-Colombia;2;3;3;9.66;11;10.26;0.97;26;2.33;0.36;0;150
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;1;1;11.68;8;10.91;1.67;18;2.27;0.48;0;118
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;1;2;11.32;8;10.88;1.62;17;2.6;0.44;0;120
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;1;3;7.04;8;10.78;1.01;20;2.6;0.34;0;125
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;2;1;11.75;10;10.69;1.3;22;2.01;0.37;0;143
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;2;2;12.42;10;9.77;1.38;18;2.16;0.49;0;130
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;2;3;11.71;9;10.77;1.46;20;2.38;0.24;0;133
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;3;1;10.99;9;9.41;1.37;8;2.27;0.49;0;101
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;3;2;10.53;9;9.27;1.31;15;2.19;0.39;0;109
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;1;3;3;7.7;6;12.71;1.54;23;2.69;0.2;0;119
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;1;1;8.13;8;10.19;1.16;18;2.41;0.47;0;112
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;1;2;8.86;9;10.15;1.11;22;2.28;0.31;0;129
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;1;3;12.02;9;10.81;1.5;26;2.25;0.36;0;153
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;2;1;11.22;10;9.44;1.25;19;2.09;0.37;0;125
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;2;2;12.43;9;10.26;1.55;21;2.14;0.26;0;120
Og08;Og;Saliforeh;Africa;Cultivated;Cali-Colombia;2;2;3;10.97;10;10.61;1.22;18;2.33;0.27;0;137
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;1;1;12.55;13;10.14;1.05;27;1.83;0.47;0;195
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;1;2;14.14;10;9.27;1.57;14;1.99;0.87;0;117
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;1;3;12.13;10;9.24;1.35;14;1.63;0.62;0;121
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;2;1;15.2;10;9.17;1.69;13;2.25;0.72;0;108
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;2;2;13.9;13;10.55;1.16;36;1.74;0.49;0;204
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;2;3;13.22;12;10.93;1.2;29;2.01;0.6;0;187
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;3;1;13.45;13;10.06;1.12;24;1.89;0.6;0;172
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;3;2;15.03;15;10.55;1.08;28;1.71;0.75;0;205
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;1;3;3;14.36;15;9.71;1.03;24;1.73;0.7;0;198
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;1;1;14.71;13;11.55;1.23;33;2;0.56;0;198
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;1;2;13.25;12;10.63;1.2;30;1.96;0.46;0;198
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;1;3;13.92;10;10.4;1.55;23;2.2;0.51;0;143
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;2;1;12.79;11;11.04;1.28;31;2.26;0.34;0;188
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;2;2;13.39;14;10.86;1.03;39;1.86;0.46;0;196
Og09;Og;IG02;Africa;Cultivated;Cali-Colombia;2;2;3;15.03;13;11.17;1.25;41;2.08;0.36;0;233
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;1;1;14.04;12;11.71;1.28;36;2.23;0.34;0;210
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;1;2;11.57;11;11.02;1.15;36;2.18;0.27;0;197
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;1;3;13.59;12;11.09;1.23;38;2.3;0.28;0;196
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;2;1;10.13;10;12.7;1.12;41;2.2;0.19;0;210
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;2;2;13.28;13;10.87;1.11;35;2.17;0.26;0;215
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;2;3;14.18;12;11.63;1.29;35;2.38;0.21;0;217
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;3;1;12.58;11;12.19;1.26;42;2.1;0.23;0;210
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;3;2;11.47;12;14.03;1.04;59;2.11;0.22;2;225
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;1;3;3;8.69;9;13.26;1.09;45;2.38;0.23;0;217
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;2;1;1;13.69;13;10.51;1.14;34;2.28;0.35;0;211
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;2;1;2;13.31;11;11.23;1.33;32;2.1;0.36;0;177
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;2;1;3;12.57;10;11.76;1.4;34;2.29;0.21;0;184
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;2;2;1;12.75;10;12.61;1.42;40;2.53;0.22;0;208
Og10;Og;Tog6208;Africa;Cultivated;Cali-Colombia;2;2;2;11.42;9;11.55;1.43;24;2.54;0.38;0;144
